_Id	_CreationDate	_PostId	_RelatedPostId	_LinkTypeId
16421	2017-06-24T06:16:38.573	3533	2236	1
17479	2017-07-17T13:17:35.240	3659	3647	1
17601	2017-07-18T18:38:47.580	3669	1906	1
17741	2017-07-21T17:14:48.403	3690	1705	1
18901	2017-07-26T00:04:16.653	3055	3494	1
18941	2017-07-26T15:19:07.080	3702	3696	1
18965	2017-07-26T23:53:24.097	3696	2092	1
19010	2017-07-27T16:50:35.287	3719	3630	1
19011	2017-07-27T16:50:35.287	3719	3398	1
19529	2017-08-05T07:13:33.760	3765	3753	1
19686	2017-08-07T19:19:53.870	3773	2226	1
20104	2017-08-15T16:48:36.920	3798	3802	1
20241	2017-08-18T15:38:23.583	3836	3814	1
20242	2017-08-18T15:51:02.303	3814	3836	1
20882	2017-08-29T00:41:05.890	3917	3820	1
21040	2017-08-31T09:42:19.097	258	3801	1
21131	2017-09-01T18:39:10.203	3950	3374	1
21494	2017-09-09T09:50:31.627	3975	3775	1
21729	2017-09-17T11:13:35.627	4045	4013	1
21829	2017-09-19T12:58:18.997	4043	1635	1
23470	2017-09-28T12:11:12.820	4136	3473	1
23742	2017-09-30T18:16:34.443	4131	92	1
23920	2017-10-02T19:47:09.430	4148	111	1
23957	2017-10-03T09:42:23.333	4176	10	1
23958	2017-10-03T09:42:23.333	4176	118	1
25983	2017-10-19T14:23:48.060	4298	4000	1
26129	2017-10-21T04:31:51.850	4257	4148	1
27847	2017-11-03T22:27:20.520	3548	3494	1
27848	2017-11-03T22:27:20.520	3548	2236	1
28301	2017-11-12T16:21:31.413	4414	1294	3
28302	2017-11-12T16:27:45.970	4414	1294	1
31812	2017-12-07T17:20:42.087	4678	1453	1
33080	2017-12-22T00:33:54.503	4817	36	1
34082	2018-01-04T02:06:35.053	4918	4394	1
34427	2018-01-11T20:06:31.863	4743	4975	1
34492	2018-01-12T20:40:24.280	4397	4851	1
34493	2018-01-12T20:45:12.173	4397	4964	1
36641	2018-01-28T10:57:58.387	5175	2727	1
36644	2018-01-28T10:59:52.600	5175	3962	1
36791	2018-01-29T15:46:07.180	5185	4706	1
37155	2018-02-02T13:43:32.413	5208	4399	1
37637	2018-02-05T23:00:14.127	5234	5220	1
38375	2018-02-12T05:09:52.063	5270	4085	1
38434	2018-02-13T02:32:30.913	3138	26	1
38643	2018-02-14T21:35:46.193	5220	5234	1
38727	2018-02-15T11:38:38.140	5320	2274	1
38959	2018-02-16T20:42:18.400	5343	1479	1
